'Nombre: Aragon en Marcilla Código: C05 Fecha: 11/09/2010 Canales:18 IP: 10.15.2.21
'HHMM;1,A1,;2,A2,C;3,A3,uS;4,A4,mg/l;5,A5,mV;6,A6,mg/l;7,A7,m-1;8,A8,NTU;9,A9,m;10,A10,;11,A11,;12,A12,;13,A13,;14,A14,;15,A15,;16,A16,;17,A17,;18,A18,
1420 8.42V 17.96V 395.45V 10.94V 326.36V 0.03V 4.79V 16.87V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1430 8.43V 17.99V 392.50V 10.97V 325.40V 0.03V 4.69V 16.86V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1440 8.43V 18.02V 392.46V 10.99V 324.27V 0.03V 4.83V 16.55V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1450 8.43V 18.09V 394.00V 11.00V 324.30V 0.03V 4.41V 16.52V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1500 8.44V 18.11V 392.63V 11.01V 323.15V 0.03V 4.79V 16.53V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1510 8.44V 18.14V 392.67V 11.03V 323.40V 0.03V 5.52V 16.53V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1520 8.45V 18.18V 392.67V 11.04V 323.28V 0.03V 4.76V 16.20V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1530 8.45V 18.21V 395.32V 11.03V 321.99V 0.03V 4.69V 16.86V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1540 8.45V 18.23V 392.50V 11.03V 322.15V 0.03V 4.83V 17.21V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1550 8.46V 18.25V 391.09V 11.04V 322.12V 0.03V 4.79V 16.86V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1600 8.46V 18.28V 394.08V 11.03V 322.12V 0.03V 4.58V 16.91V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1610 8.46V 18.30V 394.04V 11.02V 321.19V 0.03V 4.86V 17.55V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1620 8.46V 18.32V 395.54V 11.01V 322.28V 0.03V 4.86V 17.23V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
1630 8.47V 18.32V 395.28V 11.00V 322.02V 0.03V 4.76V 17.58V -1.50E -12.48E -12.50E -12.50E -12.50E -12.50E -12.50E -12.50N 7.00N 0.00N
